StartNode,EndNodeID,ContactWay
547,10131,timeline
1733,10323,timeline
21238,10506,timeline
4123,10748,timeline
10068,11027,timeline
7008,11937,timeline
15124,13658,timeline
13658,13659,timeline
8184,14189,timeline
1332,14800,timeline
21527,15245,timeline
234,15339,timeline
6781,15500,timeline
6878,15545,timeline
4123,15935,timeline
6781,16160,timeline
15124,16556,timeline
15124,16708,timeline
6715,17226,timeline
6149,17236,timeline
15124,17352,timeline
6634,17744,timeline
816,18138,timeline
17433,18880,timeline
21128,18985,timeline
15124,19397,timeline
6294,19986,timeline
17352,20134,timeline
6715,20292,timeline
186,20306,timeline
20476,20477,timeline
19210,20577,timeline
1744,20613,timeline
20843,20844,timeline
234,21035,timeline
4123,21065,timeline
16562,21282,timeline
21355,21286,timeline
21614,21288,timeline
20225,21322,timeline
4218,21323,timeline
17433,21331,timeline
4123,21336,timeline
16562,21339,timeline
17433,21341,timeline
17433,21342,timeline
2810,21348,timeline
17433,21349,timeline
21241,21351,timeline
6294,21361,timeline
6634,21362,timeline
17433,21365,timeline
21368,21369,timeline
6294,21375,timeline
235,21376,timeline
4447,21377,timeline
21288,21380,timeline
21288,21386,timeline
1733,21391,timeline
20518,21397,timeline
6294,21401,timeline
62,21402,timeline
816,21408,timeline
6294,21414,timeline
17816,21415,timeline
6765,21427,timeline
21241,21430,timeline
6634,21441,timeline
15124,21442,timeline
17204,21445,timeline
17480,21450,timeline
2186,21454,timeline
17608,21456,timeline
2186,21457,timeline
2216,21459,timeline
2216,21462,timeline
4447,21466,timeline
234,21469,timeline
20177,21475,timeline
7886,21476,timeline
547,21482,timeline
8984,21486,timeline
21487,21488,timeline
20177,21494,timeline
8173,21500,timeline
1332,21501,timeline
19210,21512,timeline
19210,21514,timeline
1332,21523,timeline
186,21527,timeline
21527,21528,timeline
1744,21529,timeline
15339,21531,timeline
0,21532,timeline
17352,21534,timeline
6294,21535,timeline
6294,21536,timeline
77,21537,timeline
21539,21540,timeline
7886,21541,timeline
6294,21542,timeline
8184,21543,timeline
21527,21544,timeline
6294,21547,timeline
17352,21548,timeline
21527,21549,timeline
6294,21550,timeline
234,21552,timeline
17352,21554,timeline
17352,21555,timeline
15124,21558,timeline
6294,21562,timeline
234,21567,timeline
6781,21572,timeline
9595,21577,timeline
0,21579,timeline
62,21580,timeline
1332,21581,timeline
234,21582,timeline
9595,21583,timeline
8184,21587,timeline
20476,21590,timeline
21362,21591,timeline
77,21594,timeline
19817,21596,timeline
4123,21599,timeline
1744,21600,timeline
4123,21604,timeline
6294,21605,timeline
4123,21607,timeline
20933,21612,timeline
1744,21614,timeline
15124,21616,timeline
3339,21625,timeline
77,21630,timeline
21614,21631,timeline
4123,21632,timeline
20933,21635,timeline
21614,21636,timeline
431,21638,timeline
381,21639,timeline
7886,21643,timeline
77,21644,timeline
381,21645,timeline
0,21646,timeline
77,21648,timeline
1733,21651,timeline
234,21657,timeline
19210,21663,timeline
4123,21666,timeline
1733,21669,timeline
20476,21670,timeline
12051,122,groupmessage
62,262,groupmessage
12051,332,groupmessage
112,764,groupmessage
2247,2248,groupmessage
1332,6867,groupmessage
62,7106,groupmessage
3330,7157,groupmessage
0,7493,groupmessage
2690,7686,groupmessage
186,8117,groupmessage
1332,8405,groupmessage
19210,8601,groupmessage
4218,8693,groupmessage
2247,10367,groupmessage
240,12051,groupmessage
12051,12052,groupmessage
231,15217,groupmessage
2247,15319,groupmessage
240,17768,groupmessage
15317,18977,groupmessage
20933,20181,groupmessage
20456,20457,groupmessage
6715,20557,groupmessage
62,20654,groupmessage
1332,20721,groupmessage
1332,20796,groupmessage
20925,20926,groupmessage
4218,21125,groupmessage
3330,21127,groupmessage
21128,21129,groupmessage
0,21133,groupmessage
20181,21141,groupmessage
0,21143,groupmessage
0,21147,groupmessage
0,21148,groupmessage
0,21149,groupmessage
0,21150,groupmessage
0,21152,groupmessage
21197,21162,groupmessage
4218,21185,groupmessage
20181,21189,groupmessage
6715,21190,groupmessage
20181,21192,groupmessage
21196,21197,groupmessage
15646,21201,groupmessage
77,21207,groupmessage
12051,21208,groupmessage
7390,21212,groupmessage
12051,21214,groupmessage
20916,21218,groupmessage
2247,21219,groupmessage
12051,21220,groupmessage
12549,21222,groupmessage
12051,21223,groupmessage
235,21224,groupmessage
18495,21230,groupmessage
1332,21237,groupmessage
2247,21242,groupmessage
62,21245,groupmessage
62,21248,groupmessage
15339,21253,groupmessage
6715,21254,groupmessage
2247,21258,groupmessage
6294,21265,groupmessage
2216,21267,groupmessage
1332,21268,groupmessage
1332,21269,groupmessage
2247,21270,groupmessage
62,21272,groupmessage
62,21273,groupmessage
2216,21274,groupmessage
1332,21276,groupmessage
0,21278,groupmessage
1332,21280,groupmessage
21286,21284,groupmessage
1332,21287,groupmessage
6294,21293,groupmessage
21286,21298,groupmessage
381,21299,groupmessage
1332,21301,groupmessage
3330,21302,groupmessage
2247,21303,groupmessage
1332,21308,groupmessage
1332,21309,groupmessage
18495,21315,groupmessage
0,21316,groupmessage
0,77,singlemessage
1332,1333,singlemessage
1332,4864,singlemessage
6867,6236,singlemessage
5202,6453,singlemessage
6765,6766,singlemessage
186,8578,singlemessage
6236,8928,singlemessage
8184,10959,singlemessage
1332,11821,singlemessage
62,16972,singlemessage
186,18049,singlemessage
16270,18930,singlemessage
1332,19636,singlemessage
547,20780,singlemessage
122,20833,singlemessage
1332,20896,singlemessage
1332,20922,singlemessage
824,21121,singlemessage
6073,21123,singlemessage
10317,21130,singlemessage
21113,21134,singlemessage
10317,21136,singlemessage
122,21139,singlemessage
77,21140,singlemessage
19323,21142,singlemessage
1739,21144,singlemessage
2309,21151,singlemessage
21156,21157,singlemessage
21156,21160,singlemessage
10317,21161,singlemessage
21162,21163,singlemessage
20925,21164,singlemessage
547,21170,singlemessage
12549,21175,singlemessage
6867,21176,singlemessage
2247,21191,singlemessage
14252,21194,singlemessage
6294,21195,singlemessage
15317,21198,singlemessage
1733,21200,singlemessage
2810,21202,singlemessage
21203,21204,singlemessage
14669,21206,singlemessage
21208,21209,singlemessage
21212,21213,singlemessage
1332,21215,singlemessage
2810,21221,singlemessage
13690,21251,singlemessage
6867,21290,singlemessage
21291,21292,singlemessage
6715,18,timeline
273,274,timeline
816,547,timeline
770,771,timeline
6715,1332,timeline
1621,1622,timeline
2186,2187,timeline
5202,2442,timeline
816,2491,timeline
186,6073,timeline
6715,6716,timeline
7008,7009,timeline
4329,7191,timeline
273,9628,timeline
547,10873,timeline
5202,11193,timeline
4329,11446,timeline
0,12098,timeline
20225,12578,timeline
273,15284,timeline
2676,20749,timeline
1733,20792,timeline
770,20805,timeline
16562,20828,timeline
770,20925,timeline
770,21012,timeline
6715,21031,timeline
2186,21077,timeline
4123,21089,timeline
824,21119,timeline
4218,21122,timeline
5202,21124,timeline
6634,21126,timeline
1332,21131,timeline
231,21132,timeline
6715,21135,timeline
231,21137,timeline
1332,21155,timeline
186,21158,timeline
